Teff log(g) filter a1 a2 a3 a4
2300 4.0 u 0.03086039799603827 0.7851005865803514 0.4501828106976521 -0.2636458328292341
2300 4.5 u 0.3042314643254109 -0.1518424592401668 1.370314712565008 -0.5143959570039829
2300 5.0 u 0.9306649429497912 -1.1613291891761848 1.9155534998232728 -0.6216611691428447
2300 5.5 u 1.5566758133664151 -1.9952639702640191 2.34262473474067 -0.7980073155383476
2300 6.0 u 1.4307102558243654 -1.466093410668191 1.7123394958526028 -0.6035466481308808
2400 4.0 u 0.4015378372351004 0.5116493083924357 0.4078465590943882 -0.24263483950832007
2400 4.5 u -0.06530110300500809 0.953654124475321 0.29039195373887894 -0.19097501001617515
2400 5.0 u 0.3799190198556129 -0.22882590968792219 1.3368769174919575 -0.47285270864039963
2400 5.5 u 0.9640321061089041 -0.910693183859875 1.4739007641703614 -0.4656251514919268
2400 6.0 u 1.1304288975582077 -0.8480544501386865 1.2151914708871205 -0.4425809298600776
2500 4.0 u 1.291887171684192 -0.9885469700217576 1.4862221926673964 -0.5756420929636916
2500 4.5 u 0.17565239893401277 0.8956270963596631 0.09322097069256749 -0.12760058856322024
2500 5.0 u 0.06571507715313878 0.5601947836685214 0.6679583118232819 -0.29602141910471746
2500 5.5 u 0.5761459876343731 -0.4269995795608184 1.2806251028902071 -0.39611868233787734
2500 6.0 u 0.8441602068863842 -0.3174669754075002 0.7695199344517628 -0.25685914276391786
2600 4.0 u 2.4434581861729816 -3.1964915627841184 3.2867755965257266 -1.1535645628351676
2600 4.5 u 0.6728798050661158 0.24949692227741024 0.40593386392086633 -0.21588319875358658
2600 5.0 u 0.10281384897883124 0.9050332845828525 0.145590178490516 -0.13708846561352678
2600 5.5 u 0.3037042641719113 0.1485781041106841 0.8922380501021199 -0.3239489681757321
2600 6.0 u 0.5512913607305194 -0.01692518560018863 0.6926662114980853 -0.2006154822393842
2700 4.0 u 3.620868660112498 -5.592282006512164 5.342338282268888 -1.825232214221598
2700 4.5 u 1.5368053914416262 -1.3151045284173795 1.595785940477644 -0.5881795182054119
2700 5.0 u 0.29785411830723263 0.8661252866340892 -0.04247864442364402 -0.07415846493811817
2700 5.5 u 0.29735610397052986 0.34856909881959364 0.6744763909024076 -0.29397220704580024
2700 6.0 u 0.5010278543344076 0.04907116624170917 0.7061812507959003 -0.2201265603974774
2800 4.0 u 4.784796691760201 -8.026112441304857 7.486228810557071 -2.5323076189792286
2800 4.5 u 2.504304735793054 -3.231068083610343 3.185519010227392 -1.1014202515823865
