Teff log(g) filter a1 a2 a3 a4
2300 4.0 z 3.659835413488238 -5.848349055218335 5.646449845009453 -1.9676510117261505
2300 4.5 z 2.6514715427272084 -3.751071877147524 3.7366893107454136 -1.3241987962539787
2300 5.0 z 2.0035485157341775 -2.3855032144604023 2.4701225517440206 -0.8886452717469236
2300 5.5 z 2.0019404202898965 -2.4534287353095277 2.509939450402917 -0.8945743932983657
2300 6.0 z 1.741221257225978 -1.8648514043922555 1.9255030226677903 -0.6897192692513185
2400 4.0 z 3.6639094142452713 -5.700787330447399 5.403519065091294 -1.871169092650399
2400 4.5 z 2.454337948812492 -3.1945519955377373 3.1574778687652985 -1.122534073374307
2400 5.0 z 1.8028938056132695 -1.8234613707461353 1.91483250728174 -0.7111394337847532
2400 5.5 z 1.5697608292312237 -1.396359397169095 1.533264211153021 -0.5793840320526157
2400 6.0 z 1.4760003073139423 -1.2325338535999169 1.3770254230865449 -0.5279304745025908
2500 4.0 z 4.103227302842312 -6.4683281493140585 5.949757024472004 -2.0297850111050937
2500 4.5 z 2.507257570398004 -3.1701307202650297 3.039012469566777 -1.0729848855224025
2500 5.0 z 1.5874720052482467 -1.3386848240456375 1.4863483086804208 -0.5753045137130928
2500 5.5 z 1.3673960600813844 -0.8129717709426809 0.9319058982179824 -0.3734598216606412
2500 6.0 z 1.2399211282769376 -0.6008828952016405 0.7548165741742079 -0.31910244695591516
2600 4.0 z 5.12196767272429 -8.573070086009402 7.75725226134254 -2.61505729451561
2600 4.5 z 2.9664913427915764 -3.961259123885667 3.588915673364377 -1.229654901555475
2600 5.0 z 1.7419973666017023 -1.4521309658790509 1.4179837856805917 -0.5271970129237862
2600 5.5 z 1.1470908865653227 -0.30797510152013263 0.487160258145871 -0.23796008927165552
2600 6.0 z 0.8802640082770121 0.13918618978399727 0.18090980064915752 -0.15799606178025663
2700 4.0 z 6.7273583329588895 -12.14272572638777 11.046764309714444 -3.7269201320831065
2700 4.5 z 3.8712271117064927 -5.842542643647192 5.187952809886889 -1.7427144637710204
2700 5.0 z 2.1481305456817927 -2.127637000018956 1.8425134449674199 -0.6358200237174615
2700 5.5 z 1.324466078344447 -0.4697730036262635 0.45881924052821554 -0.2020920801886027
2700 6.0 z 0.9169418286409067 0.29643927181113255 -0.1349025234518219 -0.02723479673338213
2800 4.0 z 8.5568208530459 -16.272976153937037 14.912135759963446 -5.044086026420526
2800 4.5 z 5.261129491614834 -8.951023750102198 8.043017990286312 -2.7055601505761944
2800 5.0 z 3.0523218028968357 -4.062789991129626 3.516849005883257 -1.178770985784879
2800 5.5 z 1.7908994283448405 -1.3341010172724375 1.0676172932897419 -0.37116437182138073
2900 4.0 z 9.532478736698591 -18.589723656719634 17.13789154572274 -5.8166470960335985
2900 4.5 z 6.056538755911834 -10.816967394482596 9.781141934563392 -3.296647544844149
2900 5.0 z 3.876676419622922 -5.9163816846943575 5.170876972815309 -1.7243902285169816
2900 5.5 z 2.570041076416192 -2.9883755541742176 2.4786249919074987 -0.8239996292254504
2900 6.0 z 1.5865931767368031 -0.8173206050840832 0.5334693613459517 -0.18771616955091316
3000 4.0 z 9.872979054603386 -19.477860492559604 18.021607700444527 -6.130877015361098
3000 4.5 z 6.712260239130859 -12.373146923367962 11.243923687065019 -3.796193269362664
3000 5.5 z 3.106021117285306 -4.207836639160215 3.528233725027009 -1.1589924016905413
3000 6.0 z 2.0845302141432103 -1.8925714575625145 1.3980455683862507 -0.4485654318780383
3100 4.0 z 10.476918960599708 -20.857757977287026 19.3284943587533 -6.579300815128928
3100 4.5 z 7.362906158705842 -13.944019018270092 12.758829835210173 -4.322833093176386
3100 5.0 z 4.993535908712254 -8.577305537429778 7.620480617359981 -2.5470636742093355
3100 5.5 z 3.612308834686758 -5.414317583623872 4.614570233670727 -1.5163277779516386
3100 6.0 z 2.6020306691384323 -3.081590787907956 2.422247612281557 -0.7729722988338222
3200 4.0 z 12.089012765034092 -24.51061470843093 22.825706884591874 -7.788977503123934
3200 4.5 z 8.345442375938802 -16.231578636624732 14.956796392974551 -5.085099630033154
3200 5.0 z 5.670962937690778 -10.20408976587924 9.174166922230118 -3.0824805279111054
3200 5.5 z 4.091101865656635 -6.594429387449607 5.7140596734080065 -1.8861677823493492
3200 6.0 z 3.0531809905136815 -4.192017317460021 3.4292282128974367 -1.103198456228011
3300 4.0 z 13.40183926348913 -27.486512455160533 25.6753010248866 -8.773035503991233
3300 4.5 z 9.633768000863281 -19.254501566125157 17.903211440561694 -6.11698580054854
3300 5.0 z 6.509284531582268 -12.216897611911856 11.133281466530407 -3.7670460788374673
3300 5.5 z 4.687359797933257 -8.055199699973414 7.110697399739049 -2.365964664996195
3300 6.0 z 3.5441212719723025 -5.420760019062837 4.582894243244006 -1.4917864184852205
3400 4.0 z 14.0211908671463 -28.938929937212958 27.087772252441592 -9.262810409974396
3400 4.5 z 10.181370163172543 -20.562223806110097 19.181708684241936 -6.563982836682486
3400 5.0 z 7.034724793526391 -13.506115626334546 12.401054094552984 -4.212311801694495
3400 5.5 z 5.098800194184343 -9.090993178012436 8.121360470669185 -2.7177403151330823
3400 6.0 z 3.9656798978256433 -6.491244508098607 5.612982724681546 -1.8454810038156992
3500 4.0 z 14.697667464065113 -30.61120730849019 28.7562603171665 -9.848566160088502
3500 4.5 z 10.535791073331929 -21.46159888417289 20.08757781018981 -6.885074291697077
3500 5.0 z 7.278753137593726 -14.147814264592496 13.048168759427822 -4.4420539312040095
3500 5.5 z 5.3699152394124585 -9.803246971425706 8.830338760161878 -2.9673327594065646
3500 6.0 z 4.208232461009364 -7.141890281267684 6.253003739581529 -2.0679962489982
3600 4.0 z 15.32234098265043 -32.20202602488886 30.368739987842076 -10.416706881671827
3600 4.5 z 10.878483253288046 -22.36784427700732 21.02321195310079 -7.220331867857219
3600 5.0 z 7.462204890350567 -14.66456709143657 13.590666083371126 -4.638832189099577
3600 5.5 z 5.489422011372237 -10.161457165598128 9.20501531089857 -3.102595865987134
