Teff log(g) a1 a2 a3 a4 I1
2300.0 3.0 5.71702 -9.42647 8.41136 -2.79383 1044.12
2400.0 3.0 5.89169 -9.62817 8.40738 -2.75329 982.403
2500.0 3.0 6.29112 -10.40115 8.97321 -2.91056 7221.53
2600.0 3.0 7.34284 -12.67166 11.00827 -3.58269 19523.4
2700.0 3.0 7.61039 -13.23214 11.46657 -3.72043 2165.74
2900.0 3.0 7.77386 -13.54036 11.70368 -3.78287 17109.2
3100.0 3.0 7.16649 -12.25993 10.57506 -3.40794 1755920.0
3200.0 3.0 7.60891 -13.14838 11.38164 -3.66637 12157400.0
3300.0 3.0 7.91921 -13.81934 11.97771 -3.84187 50462000.0
3400.0 3.0 7.89466 -13.96864 12.14223 -3.88235 61136700.0
3500.0 3.0 7.35627 -13.08512 11.4519 -3.66153 57322900.0
3600.0 3.0 6.93673 -12.58219 11.19947 -3.60637 49497600.0
3700.0 3.0 6.8148 -12.48166 11.14691 -3.58332 42581500.0
3800.0 3.0 6.26397 -11.40898 10.21312 -3.28042 36506600.0
3900.0 3.0 5.56647 -10.00038 8.98062 -2.88423 32180100.0
4000.0 3.0 5.57403 -10.05077 9.05678 -2.91982 26842800.0
4100.0 3.0 5.96095 -10.86513 9.80212 -3.17315 23685200.0
4200.0 3.0 5.67697 -10.25666 9.2459 -2.99197 22431000.0
4300.0 3.0 5.58718 -10.05832 9.06136 -2.93456 20459000.0
4400.0 3.0 5.69934 -10.29682 9.27947 -3.01238 16171800.0
4500.0 3.0 5.26667 -9.38522 8.43948 -2.73331 13625000.0
4600.0 3.0 5.63442 -10.15688 9.14224 -2.97299 10714600.0
4700.0 3.0 5.60912 -10.10514 9.08654 -2.95516 6908870.0
4800.0 3.0 5.63831 -10.1666 9.13173 -2.96993 3584500.0
4900.0 3.0 5.67616 -10.23801 9.18044 -2.98423 2750380.0
5100.0 3.0 6.04097 -10.90687 9.69362 -3.1358 72156.4
5200.0 3.0 5.73777 -10.27424 9.1139 -2.94392 87057.5
5300.0 3.0 5.84788 -10.54597 9.38257 -3.0416 106577.0
5400.0 3.0 5.86859 -10.57995 9.40151 -3.04791 167144.0
5500.0 3.0 6.1325 -11.08378 9.82567 -3.18644 84879.5
5600.0 3.0 6.18713 -11.20273 9.93949 -3.22855 97005.4
5700.0 3.0 6.21533 -11.24804 9.96556 -3.23579 93699.1
5800.0 3.0 6.25976 -11.29295 9.96421 -3.22608 107505.0
5900.0 3.0 6.3112 -11.3723 10.00776 -3.23498 123728.0
6000.0 3.0 6.52128 -11.79705 10.37708 -3.35646 156450.0
6100.0 3.0 6.38006 -11.46256 10.03663 -3.23515 195156.0
6200.0 3.0 6.65908 -12.0313 10.54228 -3.40554 243757.0
6300.0 3.0 6.70945 -12.11811 10.60561 -3.42609 301516.0
6400.0 3.0 6.8059 -12.29594 10.74431 -3.46873 359868.0
6500.0 3.0 6.63088 -11.88055 10.3213 -3.31673 419170.0
6600.0 3.0 6.93487 -12.50673 10.88076 -3.50437 480061.0
6700.0 3.0 6.84574 -12.28934 10.65105 -3.42041 536053.0
6800.0 3.0 6.6457 -11.86642 10.25946 -3.29123 594022.0
6900.0 3.0 6.33677 -11.23405 9.69314 -3.10836 662297.0
7000.0 3.0 6.36777 -11.31565 9.77095 -3.1373 735656.0
7200.0 3.0 6.17711 -10.83298 9.24203 -2.93782 957050.0
7400.0 3.0 6.46076 -11.42074 9.76106 -3.11252 1163290.0
7600.0 3.0 6.66489 -11.80467 10.05613 -3.19919 1429230.0
7800.0 3.0 6.7232 -11.85138 10.02157 -3.16907 1701230.0
